tasks,k,method,normalized_accuracy,mean_raw_accuracy
Cars|DTD|GTSRB|SVHN,4,weight_averaging,0.8041046254055894,0.73525
Cars|DTD|GTSRB|SVHN,4,task_arithmetic,0.8389667914000993,0.76825
Cars|DTD|GTSRB|SVHN,4,ties,0.6714895050636353,0.609
Cars|DTD|MNIST|RESISC45,4,weight_averaging,0.8399239123607349,0.76825
Cars|DTD|MNIST|RESISC45,4,task_arithmetic,0.8589140317768122,0.785
Cars|DTD|MNIST|RESISC45,4,ties,0.7668533607375662,0.70025
Cars|DTD|MNIST|SUN397,4,weight_averaging,0.8522064483687954,0.7322500000000001
Cars|DTD|MNIST|SUN397,4,task_arithmetic,0.8635354446551813,0.7422500000000001
Cars|DTD|MNIST|SUN397,4,ties,0.7855352422651027,0.67225
Cars|DTD|MNIST|SVHN,4,weight_averaging,0.8535145303701055,0.7855
Cars|DTD|MNIST|SVHN,4,task_arithmetic,0.8690784273711892,0.7995
Cars|DTD|MNIST|SVHN,4,ties,0.7648276378544113,0.703
Cars|DTD|RESISC45|SUN397,4,weight_averaging,0.8247599252108895,0.69625
Cars|DTD|RESISC45|SUN397,4,task_arithmetic,0.8359741323433661,0.70675
Cars|DTD|RESISC45|SUN397,4,ties,0.7710282274726371,0.6495
Cars|DTD|RESISC45|SVHN,4,weight_averaging,0.8050599382361483,0.73
Cars|DTD|RESISC45|SVHN,4,task_arithmetic,0.826928052937668,0.75025
Cars|DTD|RESISC45|SVHN,4,ties,0.7205858344600263,0.65175
Cars|DTD|SUN397|SVHN,4,weight_averaging,0.8353672028502384,0.71075
Cars|DTD|SUN397|SVHN,4,task_arithmetic,0.8549080734300795,0.7282500000000001
Cars|DTD|SUN397|SVHN,4,ties,0.7497474756501109,0.6335
Cars|EuroSAT|GTSRB|MNIST,4,weight_averaging,0.8577945410167066,0.8242499999999999
Cars|EuroSAT|GTSRB|MNIST,4,task_arithmetic,0.8820487365116223,0.84775
Cars|EuroSAT|GTSRB|MNIST,4,ties,0.7210304070633928,0.6895
Cars|EuroSAT|GTSRB|RESISC45,4,weight_averaging,0.8253049176125314,0.78425
Cars|EuroSAT|GTSRB|RESISC45,4,task_arithmetic,0.8572592453855946,0.81525
Cars|EuroSAT|GTSRB|RESISC45,4,ties,0.7072235493057766,0.6685
Cars|EuroSAT|GTSRB|SUN397,4,weight_averaging,0.852000040039353,0.7615000000000001
Cars|EuroSAT|GTSRB|SUN397,4,task_arithmetic,0.8789580682242841,0.78775
Cars|EuroSAT|GTSRB|SUN397,4,ties,0.723957742536214,0.637
Cars|EuroSAT|GTSRB|SVHN,4,weight_averaging,0.8269093490088656,0.78975
Cars|EuroSAT|GTSRB|SVHN,4,task_arithmetic,0.85946905514796,0.82125
Cars|EuroSAT|GTSRB|SVHN,4,ties,0.6807207810849668,0.646
Cars|EuroSAT|MNIST|RESISC45,4,weight_averaging,0.8915795339026609,0.851
Cars|EuroSAT|MNIST|RESISC45,4,task_arithmetic,0.9036312230034133,0.86275
Cars|EuroSAT|MNIST|RESISC45,4,ties,0.796850215075409,0.75825
Cars|EuroSAT|MNIST|SUN397,4,weight_averaging,0.9077781403038886,0.8185
Cars|EuroSAT|MNIST|SUN397,4,task_arithmetic,0.9206636907005156,0.83075
Cars|EuroSAT|MNIST|SUN397,4,ties,0.8102751960587895,0.72375
Cars|EuroSAT|MNIST|SVHN,4,weight_averaging,0.8837265482597866,0.8474999999999999
Cars|EuroSAT|MNIST|SVHN,4,task_arithmetic,0.8971440132676265,0.8605
Cars|EuroSAT|MNIST|SVHN,4,ties,0.7740367883649998,0.74
Cars|EuroSAT|RESISC45|SUN397,4,weight_averaging,0.8783021587971138,0.782
Cars|EuroSAT|RESISC45|SUN397,4,task_arithmetic,0.8900723925801359,0.7935000000000001
Cars|EuroSAT|RESISC45|SUN397,4,ties,0.7997197003496423,0.70525
Cars|EuroSAT|RESISC45|SVHN,4,weight_averaging,0.8432238671723065,0.79975
Cars|EuroSAT|RESISC45|SVHN,4,task_arithmetic,0.8650794857178578,0.821
Cars|EuroSAT|RESISC45|SVHN,4,ties,0.7424161583974314,0.7015
Cars|EuroSAT|SUN397|SVHN,4,weight_averaging,0.8683643564034291,0.776
Cars|EuroSAT|SUN397|SVHN,4,task_arithmetic,0.8865867684402711,0.79325
Cars|EuroSAT|SUN397|SVHN,4,ties,0.760361356667415,0.67075
Cars|GTSRB|MNIST|RESISC45,4,weight_averaging,0.8538024319587092,0.81175
Cars|GTSRB|MNIST|RESISC45,4,task_arithmetic,0.8778663605498911,0.835
Cars|GTSRB|MNIST|RESISC45,4,ties,0.7486503089118521,0.709
Cars|GTSRB|MNIST|SUN397,4,weight_averaging,0.882717515708216,0.7925
Cars|GTSRB|MNIST|SUN397,4,task_arithmetic,0.9031602974177249,0.81225
Cars|GTSRB|MNIST|SUN397,4,ties,0.7735417000562642,0.68625
Cars|GTSRB|MNIST|SVHN,4,weight_averaging,0.8832848356920113,0.8452500000000001
Cars|GTSRB|MNIST|SVHN,4,task_arithmetic,0.9039881438428639,0.8654999999999999
Cars|GTSRB|MNIST|SVHN,4,ties,0.762604620236206,0.727
Cars|GTSRB|RESISC45|SUN397,4,weight_averaging,0.8460729779606762,0.7475
Cars|GTSRB|RESISC45|SUN397,4,task_arithmetic,0.8700998158536425,0.77125
Cars|GTSRB|RESISC45|SUN397,4,ties,0.7510153290922819,0.65575
Cars|GTSRB|RESISC45|SVHN,4,weight_averaging,0.829187119735805,0.784
